Volba pro město;[2002];[42205];[4.28]
Republikáni Miroslava Sládka;[2002];[1465];[0.15]
Demokratická regionální strana;[2002, 2010];[60223, 47456];[6.11, 3.9]
Občanská demokratická strana;[2002, 2006, 2010, 2014, 2018];[273081, 326189, 215899, 52598, 99621];[27.72, 28.89, 17.74, 5.04, 8.38]
Křesť.demokr.unie-Čs.str.lid.;[2002];[35474];[3.6]
Strana občanského porozumění;[2002];[3370];[0.34]
Naděje;[2002];[9041];[0.92]
Hn.za harm.rozvoj obcí a měst;[2002];[19386];[1.97]
Komunistická str.Čech a Moravy;[2002, 2006, 2010, 2014, 2018];[105909, 98964, 84176, 58283, 35979];[10.75, 8.76, 6.92, 5.59, 3.03]
Česká str.sociálně demokrat.;[2002, 2006, 2010, 2014, 2018];[155273, 161564, 204874, 102429, 25192];[15.76, 14.31, 16.83, 9.82, 2.12]
Str.pro otevřenou společnost;[2002, 2014];[97869, 6044];[9.93, 0.58]
Strana svobodných severu;[2002];[3527];[0.36]
Pravý Blok;[2002];[2874];[0.29]
Unie pro sport a zdraví;[2002, 2006, 2010, 2018];[70812, 102316, 84662, 50604];[7.19, 9.06, 6.96, 4.26]
NEZÁVISLÍ;[2002];[50781];[5.15]
Unie svobody-Demokratická unie;[2002];[53994];[5.48]
SNK ED a nezávislí společně;[2006];[72106];[6.39]
Strana zelených;[2006];[127974];[11.33]
NEZ.DEMOKRATÉ(předs.V.Železný);[2006];[1929];[0.17]
SOS pro Liberec;[2006];[236848];[20.98]
Koruna Česká (monarch.strana);[2006];[776];[0.07]
Občanská demokratická aliance;[2006];[454];[0.04]
Změna pro Liberec;[2010, 2014, 2018];[251179, 265450, 157737];[20.63, 25.46, 13.27]
Suverenita-blok J.Bobošíkové;[2010];[23754];[1.95]
TOP 09;[2010, 2014];[0, 56952];[0.0, 5.46]
Věci veřejné;[2010];[88437];[7.27]
SOS - Liberecký zastupitel;[2010];[43514];[3.57]
Volte Pr.Blok www.cibulka.net;[2010];[752];[0.06]
Strana Práv Občanů ZEMANOVCI;[2010];[9328];[0.77]
Liberec občanům;[2010];[163246];[13.41]
Nový směr-společná kandidátka;[2014];[28259];[2.71]
Starostové pro Liberecký kraj;[2014, 2018];[172933, 381613];[16.59, 32.1]
Úsvit přímé demokracie;[2014];[14479];[1.39]
KDU-ČSL a nezávislí;[2014];[23964];[2.3]
Liberec ještě žije;[2014];[16293];[1.56]
Strana svobodných občanů;[2014];[19909];[1.91]
ANO 2011;[2014, 2018];[188225, 253959];[18.05, 21.36]
Strana Práv Občanů;[2014];[2016];[0.19]
PRO Sport a Zdraví;[2014];[34841];[3.34]
Svob.a př.dem.-T.Okamura (SPD);[2018];[54539];[4.59]
Liberec otevřený lidem - LOL!;[2018];[62686];[5.27]
PRO 2016 s podporou Svobodných;[2018];[42636];[3.59]
Liberec Plus+;[2018];[18622];[1.57]
Strana soukromníků ČR;[2018];[5491];[0.46]
